How can I request an admin account with Faros?,"
Click on the link"
What is an interest session?,"This is a way to gather the future training needs. It uses dummy/fake session to setup interest sessions. This enables people to be assigned to this interest list by managers or TC. Based on this, future sessions may be scheduled, and the users can be withdrawn from the interest list and assigned to a real session."
"What is Certification Enrollment page?
#Certification","The Certification Enrollment page enables administrators and managers to see an overview of the certification and to view the progress details for each user in the certification. Administrators and managers can remove users from a certification. Administrators and certification owners also have the ability to edit the certification due date. By default, the Certification Enrollment page displays a list of all Active users currently enrolled in the certification and users that are in a Revoked status. To list both Active and Inactive users, click the Include Inactive Users checkbox and click SEARCH."
"What is certification Proxy Enrollment?
#Certification",Certification proxy enrollment is used to assign a certification to users' transcripts. The proxy enrollment option for certifications can be accessed from the Learning Assignment Tool.
"What is the certification framework sequence?
#Certification","In the Sequence field, enter the sequence number for the item. The sequence number determines the order in which items can be completed. A sequence number of 1 indicates the item must be completed first in the section, and subsequent numbers must be completed in sequential order. If two items have the same sequence number, the two items with the same sequence number can be completed in any order."
"What is the certification validity for a training?
#Certification","The validity period for a training item is the time period during which the training item can be completed and used towards completion of the certification. After the validity period has passed, the training item is expired and no longer counts towards the certification requirement. By default, the item can be counted towards multiple certification periods as long as the item is valid. When defining the validity period, you may choose to set no validity period, in which case the item is always valid during the time the certification is available. You may also set the validity period to a period that is relative to the start or end of the certification period. By default, no validity period is defined for all items.
"
"What is the difference between Event, Session and parts?","An Event is the name of the training. It answers the question “What is the name of the course and what does it include?”: -> Tech Tool
A Session is the delivery of the Event. It answers the question “Where will the training be delivered?”: -> Dubai
Parts are the groups of consecutive training hours. It answers the question “When is the training delivered and how many training hours is it?”: -> Day 1"
What is the difference between mark as complete and exempt?,"Mark completed = set to complete if student has done the training.
Exempt = by-pass if student has not done the training, he is excused (exempt will not trigger equivalence)."
What is the difference between remove and replace?,"Remove: withdraws the user if they are registered to a session and removes the training from the transcript/training record and will be found under ”Removed”.
Replace: replaces a person with another. The new persons cost center will be charged. "
What is the difference between standard and dynamic assignment?,"STANDARD LAT
Training or Training path + Fixed group or fixed list of users = Fixed group or fixed list of users will have Training or Training path assigned once, at day of assignment.

DYNAMIC LAT
Training or Training path + Dynamic group of users (Dynamic means; if criteria is met, for example: having Baldo job role “Technician”) = Dynamic group of users will have Training or Training path assigned. Navigator will check on daily basis if dynamic criteria is met, than path will be assigned or removed. "
What is the difference between system default and custom e-mails?,"System default e-mails are pre defined emails and should support most of the needs connected to training, for example:
Request, approval and registration e-mails
Reminders of due dates, evaluations
Changes to trainings, cancellations

Custom e-mails are used for :
Very specific information or links
 Sending attachments
When using custom e-mails you can use a selection from the active and inactive emails. You can change the content, receiver and inactivate emails that you do not want. Note: using custom emails will create your own copy of the email. If there are changes to the standard emails they will not apply to your trainings with custom emails."
What is the interest tracking?,Interest tracking is an end user function triggered by clicking on the “Notify me of new session”-button on a Training details page. This function is enabled by administrators on the Event properties tab. This is only an end user functionality.It can be used to see the interest from the end users but should not be fully trusted as a training plan - as not all users are using it and it is rarely maintained by the user.
"What is the scheduling when creating a certification?
#Certification","In the certification creation process, the Scheduling page enables administrators to configure the schedule for the certification. Specifically, administrators can configure how frequently users will be required to complete the certification and due dates for certification periods. If users are required to renew their certification, then administrators can configure how the renewal periods function, such as how many credits are required and whether users can carry over extra credits from a previous period.

Note: After the certification is created and assigned to a user, the certification cannot be modified aside from updating the title of a certification period. Please verify all aspects of the certification prior to saving."
What naming convention to be applied when a training is created?,"Online training name: xxxxxx: Title of the training (- brand)
702002: Basic Air and Brake - Volvo Trucks
700109: LCV Engine Euro 6 – Renault Trucks
700500: Impact 

Event name: xxxxxx: Title of the training
700046: Impact 4x
704313: Features Online Skilled technician - Volvo Trucks
700046-FR-VT: Impact 4 x 	(=local version of central event)

Session ID name: xxxxxx: country suffix-City
700046: AU-Brisbane
700046: FR-Teams

Test name: xxxxxx: Title of the training - brand (Test)
700046: Impact 4x (Test)
704313: Features Online Skilled technician - Volvo Trucks (Test)

Curriculum name: xxxxxx-TP-Brand-Country: Title of the training 
702100-TP-DUAL-CENTRAL: Basic Service and Repair
702100-TP-VT-ZA: Basic Service and Repair
101605-TP-RT-CENTRAL: Workshop Manager

Material / Video: xxxxxx: Title of the training (- brand)
700383: Optitrack Video - Renault Trucks"
"When setting the certification date, we can choose between Certification Registration date and Last training item completion date. What is the difference betwwen both?
#Certification","If this option is set to ""Certification Registration date,"" then the user's certification completion date is set to their certification registration date, regardless of when the user completed the training items that are applied to the certification.
If this option is set to ""Last training item completion date,"" then the user's certification completion date is set to the date on which the last required training item was completed because the training item completion dates are prior to the certification start date."
"Where can I find the support documentation?
#how to guides","
Click on the link"
Where can I find the training materials?,"
Click on the link"
"While adding a section in a certification framework, it is required to specify a min and max number of credits for required section. What does it means?
#Certification","Min - This is the minimum number of credits that must be completed in order to complete the section. If all items in the section are optional, this can be set to 0. For example, if the minimum is set to 4, users must complete enough training items to receive at least four credits to satisfy the section requirements. Once the minimum is received, the section is considered complete and the credits within the section can be counted towards any parent sections if applicable. Additional credits may be received up to the maximum for the section. This allows administrators to ensure users are completing enough training items within each section.

Max - This is the maximum number of credits that can be granted within the section. For example, if the maximum is set to 10, users cannot receive more than 10 credits for the section. If they complete training items to accumulate 15 credits for the section, only 10 credits are received for the section. This allows administrators to ensure users are completing a balanced amount of training items within each section."
Why Data Merge didn't merge all Learning Objects to the Recipient User?,"The Data Merge tool does not merge removed training items from the donor account to the recipient account.

The Data Merge tool does not merge a training item if it already exist on the recipient account; this includes equivalencies, other versions of the training, and if the training is used in a certification.
If the same training item is listed on both training records, the one in the recipient account remains and the one in the donor account is not merged, regardless of the status or version of either course.
For sessions, if the recipient account already has the session, then that record remains and no merge occurs. This is regardless of status. If the recipient account is waitlisted in a session and the donor account is registered in the same session, the user retains the status associated with the recipient account.
If the recipient account has a completed course that is an equivalent to a course in the donor account, the course is not transferred.
For curricula, if the recipient account has the curriculum on their transcript (prerequisite, stand-alone item, pre-work, post-work, or as part of another curriculum), the curriculum is not transferred. Also, if a learning object (LO) within a curriculum exists on the recipient account's transcript (prerequisite, stand-alone item, pre-work, post-work, or as part of another curriculum), the LO is not transferred. Note: If an LO in the merge is part of ANY curriculum on the donor account, the merge will fail, even if the curriculum is NOT the one being merged."
